n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,
1,8,0.8,5.13E-06,4.36E-06,0.682138614,0.000492237,0.991123859,0.000170161,237742.9,652.3432302
1,8,0.9,0.000575193,7.17E-05,0.489089829,0.002457221,0.995170936,9.35E-05,443988.6,2619.038114
1,8,0.95,0.087107099,0.001402744,0.182040678,0.001574216,0.997480626,5.37E-05,775137.7,1667.60865
1,8,0.99,0.750859954,0.002030882,0.004478371,0.000153682,0.999479029,2.27E-05,1019632.1,406.2556953
1,8,0.997,0.922966319,0.001547491,0.000359144,2.47E-05,0.999839715,9.17E-06,1038776.7,525.5747425
1,8,0.99994,0.998444406,0.000231172,5.84E-07,1.75E-06,0.9999978,1.21E-06,1045752.4,427.6276885
1,9,0.5,3.59E-06,2.03E-06,0.820308282,0.000374431,0.979388409,0.000323083,104053.4,369.8270407
1,9,0.68,4.44E-06,1.80E-06,0.781654844,0.000387778,0.986427348,0.000336366,157315.2,420.3141206
1,9,0.8,6.17E-06,6.00E-06,0.717128528,0.000448933,0.990996259,0.000154681,238162.8,465.8278223
1,9,0.9,5.11E-05,2.35E-05,0.545165188,0.001517795,0.995255104,6.62E-05,444685.1,1777.728464
1,9,0.95,0.042749807,0.000748892,0.236440291,0.001053537,0.997484233,4.64E-05,813714.9,1249.549555
1,9,0.99,0.720411651,0.002858033,0.005258813,0.000152657,0.999485224,1.33E-05,1146135.4,793.2689582
1,9,0.997,0.912949807,0.001810758,0.000416735,3.79E-05,0.999837249,1.27E-05,1168642.5,483.9157468
1,9,0.99994,0.998164352,0.000164738,2.44E-07,7.33E-07,0.999995495,1.37E-06,1176462.1,590.0319398
1,10,0.5,4.40E-06,2.02E-06,0.838337176,0.000166869,0.979365411,0.000410701,104092.1,155.1498953
1,10,0.68,5.09E-06,3.48E-06,0.803417805,0.000436102,0.98648196,0.000246614,157339.9,493.0347757
1,10,0.8,6.29E-06,4.36E-06,0.74602875,0.000868041,0.991163185,0.000174584,237349.5,1089.78413
1,10,0.9,1.50E-05,9.47E-06,0.591520822,0.001162187,0.995222573,9.17E-05,443644,1427.125292
1,10,0.95,0.016957022,0.00068769,0.293760301,0.001608287,0.997496683,3.88E-05,836289,2151.193994
1,10,0.99,0.688592978,0.00197139,0.006224761,0.00025981,0.999475913,1.64E-05,1272306.9,488.4455855
1,10,0.997,0.904164776,0.00158089,0.000483758,4.45E-05,0.99984117,1.03E-05,1298241.2,576.0963114
1,10,0.99994,0.998169059,0.000240415,5.86E-07,8.99E-07,0.999997858,1.18E-06,1307420,349.0057306
1,11,0.5,3.24E-06,1.60E-06,0.852997236,0.000213202,0.979574695,0.000400463,103986.1,342.0793621
1,11,0.68,4.44E-06,2.23E-06,0.821323345,0.000356108,0.986442168,0.0003029,157286.6,472.4756502
1,11,0.8,5.17E-06,2.35E-06,0.768807614,0.000613765,0.990935342,0.000128882,237922,877.0925835
1,11,0.9,1.30E-05,7.66E-06,0.62813138,0.001821563,0.995161543,6.32E-05,444376,2609.80597
1,11,0.95,0.005833989,0.000448953,0.351108765,0.003266793,0.997511924,7.06E-05,845412.3,4672.312148
1,11,0.99,0.657113272,0.002606523,0.007262311,0.000211411,0.999481833,1.80E-05,1398003.2,556.4215668
1,11,0.997,0.894219599,0.001543074,0.000552434,2.54E-05,0.999836209,1.04E-05,1428068.3,858.5204773
1,11,0.99994,0.997820756,0.000306701,3.16E-07,5.25E-07,0.999996523,1.92E-06,1437970.6,566.5481798
1,12,0.5,3.32E-06,1.49E-06,0.865170846,0.000153925,0.97980914,0.000377371,104165,288.7604544
1,12,0.68,3.82E-06,1.72E-06,0.836232253,0.000316409,0.986477181,0.000323877,157164.3,525.9241485
1,12,0.8,6.02E-06,2.79E-06,0.787656552,0.000502227,0.991076361,0.000182474,238494.7,738.5860884
1,12,0.9,7.87E-06,6.23E-06,0.659362172,0.0008918,0.995214758,0.000102282,444008.9,1395.005194
1,12,0.95,0.001583256,0.000180422,0.402531993,0.001192776,0.997460112,5.99E-05,849287.1,1730.142737
1,12,0.99,0.626125193,0.002363787,0.008282475,0.000193363,0.999464892,1.61E-05,1523249,495.8731693
1,12,0.997,0.884966705,0.001801127,0.000603106,3.44E-05,0.999844857,7.41E-06,1557928.4,494.7389615
1,12,0.99994,0.997797222,0.000199748,1.80E-07,4.27E-07,0.99999745,1.37E-06,1568450.7,672.1516272
1,13,0.5,3.09E-06,1.44E-06,0.875517486,0.000152765,0.979779488,0.000367893,104183.3,321.3194828
1,13,0.68,5.44E-06,1.28E-06,0.849022949,0.000337873,0.9863281,0.000225388,156868.7,518.3037816
1,13,0.8,7.72E-06,5.66E-06,0.80410179,0.000689336,0.991236643,0.000158752,238308.6,1038.895202
1,13,0.9,8.56E-06,6.37E-06,0.685921169,0.000991532,0.995218883,9.35E-05,443491.8,1615.191431
1,13,0.95,0.000330208,8.24E-05,0.448548801,0.00218895,0.997509757,4.46E-05,849006.9,3769.541469
1,13,0.99,0.597791512,0.002591771,0.009314821,0.000302728,0.999490512,2.06E-05,1649112.9,696.8369178
1,13,0.997,0.874502855,0.001546566,0.000660473,4.51E-05,0.9998381,4.55E-06,1687470.2,401.5912848
1,13,0.99994,0.997521875,0.000296201,6.23E-08,1.87E-07,0.999996586,1.53E-06,1699028,589.4965649
1,14,0.5,2.66E-06,1.37E-06,0.884451348,0.000197799,0.979430171,0.000387979,104148.3,397.3270819
1,14,0.68,3.32E-06,1.97E-06,0.859543105,0.000407869,0.98651888,0.000296302,157361.2,678.3845222
1,14,0.8,4.63E-06,1.80E-06,0.818243579,0.000620746,0.991091831,0.000326257,238019.9,1117.104959
1,14,0.9,9.68E-06,5.83E-06,0.708353704,0.000949202,0.995188073,0.00012354,443540.3,1569.214329
1,14,0.95,8.25E-05,4.72E-05,0.487335805,0.002358006,0.997501278,3.09E-05,850058.6,4089.216776
1,14,0.99,0.566602431,0.003256099,0.010572423,0.000299695,0.999484306,1.62E-05,1773339.7,1189.004462
1,14,0.997,0.864817747,0.001844082,0.000724496,2.68E-05,0.999841527,1.08E-05,1817335.7,401.2051969
1,14,0.99994,0.997352431,0.000230645,2.12E-07,6.37E-07,0.999997213,1.05E-06,1829689.4,579.4470122
1,15,0.5,2.97E-06,1.13E-06,0.892213032,0.000161989,0.979347959,0.000433569,103991.8,261.1692172
1,15,0.68,3.40E-06,1.36E-06,0.868903632,0.000371279,0.986599316,0.000294617,157336.7,705.087803
1,15,0.8,5.21E-06,2.12E-06,0.830085882,0.000456221,0.991105492,0.000161273,238623.7,908.5425747
1,15,0.9,9.72E-06,7.50E-06,0.727707986,0.00053491,0.99521327,0.000110456,443591.1,1006.457098
1,15,0.95,1.64E-05,1.45E-05,0.521060062,0.001785602,0.997500157,4.51E-05,851020.5,3400.746014
1,15,0.99,0.535015548,0.00178874,0.012111067,0.000303645,0.999480692,8.11E-06,1896757,1085.378736
1,15,0.997,0.856365085,0.002695311,0.000782436,3.30E-05,0.999844277,1.52E-05,1947133.4,1015.449181
1,15,0.99994,0.997222994,0.000254559,6.17E-08,1.54E-07,0.999996685,2.12E-06,1960684,896.4224451
1,16,0.5,2.93E-06,1.46E-06,0.898878759,0.000172255,0.979391874,0.000296005,104093.9,438.0364026
1,16,0.68,3.78E-06,1.29E-06,0.8771775,0.00027154,0.986464899,0.000277205,157201.3,551.9144952
1,16,0.8,4.75E-06,2.54E-06,0.841173963,0.000590242,0.991050603,0.000229319,237583.1,1209.973343
1,16,0.9,6.64E-06,3.19E-06,0.744419649,0.001065203,0.995234472,0.000102807,444282,2258.906992
1,16,0.95,1.30E-05,9.39E-06,0.551391761,0.001639082,0.997495109,6.42E-05,849940.1,3428.211238
1,16,0.99,0.504687731,0.004000764,0.01346713,0.000381257,0.999474218,9.69E-06,2020415.8,1418.937053
1,16,0.997,0.846651659,0.001191553,0.000844927,4.16E-05,0.999840609,9.81E-06,2076688,908.2916932
1,16,0.99994,0.996813503,0.000270016,3.23E-07,6.56E-07,0.99999694,1.16E-06,2091271.5,675.1120277
1,17,0.5,3.70E-06,1.72E-06,0.904853168,0.000132394,0.979597134,0.000559379,104131.3,308.7225453
1,17,0.68,3.74E-06,1.52E-06,0.884426005,0.00030718,0.986441454,0.000336069,157106.5,719.9048896
1,17,0.8,3.70E-06,2.87E-06,0.850313912,0.000321671,0.991068102,0.000209918,238171,852.3147306
1,17,0.9,7.83E-06,4.09E-06,0.759477732,0.000451358,0.995218572,4.94E-05,444217.5,910.2135189
1,17,0.95,1.72E-05,1.42E-05,0.577284423,0.00130773,0.99750615,4.80E-05,851003.6,2848.74875
1,17,0.99,0.476693287,0.004731067,0.015159958,0.000543205,0.999488171,9.57E-06,2143489.7,1664.71169
1,17,0.997,0.836843827,0.002228848,0.000899467,5.34E-05,0.999841231,9.48E-06,2206374.2,734.6027226
1,17,0.99994,0.996742901,0.000220316,0,0,0.99999694,8.95E-07,2222077.9,1011.517518
1,18,0.5,3.40E-06,1.33E-06,0.910145068,0.000126702,0.97955952,0.000497179,104086.4,237.8117743
1,18,0.68,3.13E-06,1.78E-06,0.890826209,0.00022569,0.986478188,0.000247358,157149.1,558.683175
1,18,0.8,4.90E-06,2.59E-06,0.858608209,0.00045305,0.991139888,0.000121097,238133.2,1109.504286
1,18,0.9,7.72E-06,5.12E-06,0.772987279,0.000595227,0.995179288,8.27E-05,443698.1,1447.842357
1,18,0.95,9.80E-06,9.07E-06,0.601237442,0.001301302,0.997514591,4.75E-05,849924.6,3024.883509
1,18,0.99,0.446858989,0.004034293,0.016655397,0.000441697,0.999479911,1.98E-05,2265788.6,1523.54509
1,18,0.997,0.826154707,0.001580704,0.001023435,1.98E-05,0.999843687,8.06E-06,2335718.1,604.7638299
1,18,0.99994,0.996634645,0.000389272,1.44E-07,2.48E-07,0.99999711,1.00E-06,2352989.9,357.4718031
1,19,0.5,2.78E-06,1.53E-06,0.91487752,0.000126216,0.979714544,0.000544315,104055.9,267.8217504
1,19,0.68,3.09E-06,1.35E-06,0.896569487,0.000223049,0.986515225,0.000247778,157056.4,555.3941303
1,19,0.8,4.09E-06,2.51E-06,0.866191295,0.000266311,0.991047967,0.000198795,237759,664.2135199
1,19,0.9,6.25E-06,3.30E-06,0.784456715,0.00058396,0.995306604,8.44E-05,444885.6,1301.866829
1,19,0.95,1.19E-05,7.53E-06,0.622997431,0.001203357,0.997495703,4.14E-05,848089.2,2830.807157
1,19,0.99,0.414871914,0.003326119,0.019194855,0.000432171,0.999474038,1.76E-05,2384969.6,1417.391209
1,19,0.997,0.817882523,0.002721409,0.00104737,3.20E-05,0.999845324,6.34E-06,2465143.1,838.7457839
1,19,0.99994,0.996406366,0.00019635,1.30E-07,2.24E-07,0.999997222,1.19E-06,2483679.3,477.2678598
