n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,25,0.5,2.5462962963e-06,7.75453365827e-07,0.935278572531,8.03847223779e-05,0.979641405256,0.000371226264287,104142.5,343.534932722
1,25,0.691462461274,2.70061728395e-06,8.2745411225e-07,0.919952075617,0.000131388782175,0.987059755497,0.000200077346754,162322.4,322.684737786
1,25,0.841344746069,4.93827160494e-06,2.18106389276e-06,0.882032362654,0.000672204505771,0.992766722109,0.000261083186253,292607.0,2077.76553056
1,25,0.894350226333,5.94135802469e-06,4.40626281953e-06,0.842852152778,0.000464824431047,0.994996294057,0.000121687715966,422981.7,1638.52842819
1,25,0.933192798731,7.9475308642e-06,6.42149638011e-06,0.77524291821,0.00104226501481,0.996689983043,0.000105338505504,645827.1,3405.14981902
1,25,0.959940843136,7.40740740741e-06,2.61550173714e-06,0.652183657407,0.00152550078172,0.99798254875,3.99232615913e-05,1048962.9,4919.5947079
1,25,0.977249868052,5.01929012346e-05,2.81283868136e-05,0.416630486111,0.00409311502253,0.998833928061,2.5344589802e-05,1819409.8,13172.7129689
1,25,0.987775527345,0.123100578704,0.00340760812646,0.0765444521605,0.00139386857222,0.999369036001,1.74160821267e-05,2941944.1,4722.30031764
1,25,0.993790334674,0.510462268519,0.00255743275147,0.00895140277778,0.000189950978268,0.999676106092,1.09090014605e-05,3196121.8,1006.89391695
1,25,0.998650101968,0.891747222222,0.00237941927292,0.000260481481481,2.33495465097e-05,0.99992870235,5.0562648924e-06,3258195.2,1001.75424132
1,26,0.5,2.46913580247e-06,7.75453365827e-07,0.937804935304,0.000124868519933,0.979371162142,0.000326174314548,104027.7,407.059221736
1,26,0.691462461274,2.97067901235e-06,1.62815955602e-06,0.922998793625,0.000197670853141,0.98687894899,0.000267660975347,162395.5,688.425050387
1,26,0.841344746069,3.66512345679e-06,2.33561896106e-06,0.886751525404,0.000377929516213,0.992629843936,8.43990045374e-05,292041.4,1221.48665158
1,26,0.894350226333,5.90277777778e-06,3.20494821388e-06,0.848928285256,0.000336439122304,0.995003871275,9.69145688988e-05,422840.9,1236.0473656
1,26,0.933192798731,8.33333333333e-06,4.36894681077e-06,0.783830775166,0.00119820931618,0.996684535495,0.000110304552621,645991.1,4028.15596644
1,26,0.959940843136,1.11882716049e-05,8.13119319497e-06,0.664245086954,0.00125702399133,0.997986124194,4.04393331409e-05,1053502.4,4314.15178685
1,26,0.977249868052,2.71990740741e-05,2.103755783e-05,0.439059153906,0.00265600342595,0.998830146706,2.08871361523e-05,1819561.5,9140.8253484
1,26,0.987775527345,0.0970302469136,0.00168916780415,0.0879903994539,0.00148667940974,0.999366187173,1.32746789687e-05,3021962.3,5428.90281825
1,26,0.993790334674,0.491609992284,0.00477956897314,0.00958442248338,0.000323639259449,0.999675706208,1.14259946562e-05,3321998.9,1454.9259397
1,26,0.998650101968,0.886396990741,0.00143507013469,0.000271938805793,1.63772029572e-05,0.999928536079,6.62027021319e-06,3387771.2,1006.24527825
1,27,0.5,2.62345679012e-06,1.32302686724e-06,0.940144520176,8.64935641358e-05,0.979365119732,0.000527234989708,103950.3,328.652415174
1,27,0.691462461274,3.16358024691e-06,1.75783730708e-06,0.925809044925,0.000179612056093,0.987005133858,0.000250426989862,162662.6,631.720381181
1,27,0.841344746069,4.28240740741e-06,2.95560952551e-06,0.890618079847,0.000338567249853,0.992769478097,0.000147150567461,293212.3,1128.882815
1,27,0.894350226333,4.62962962963e-06,3.33222575335e-06,0.854650355796,0.000358896542067,0.994969418582,8.0995130973e-05,422416.4,1233.16910438
1,27,0.933192798731,6.40432098765e-06,5.01602560591e-06,0.791554495313,0.000780469967859,0.996702764996,6.16972714922e-05,646663.5,2815.67694347
1,27,0.959940843136,1.0262345679e-05,6.19258031705e-06,0.677804939701,0.00129075880408,0.997975996592,5.40781878676e-05,1049408.5,4455.85841898
1,27,0.977249868052,2.84722222222e-05,2.49383623257e-05,0.460016806699,0.00325858399324,0.998825469435,2.63785430297e-05,1818800.4,11349.9319046
1,27,0.987775527345,0.075721412037,0.00289787888768,0.101170690444,0.00250484758097,0.999373033621,1.36054123979e-05,3092218.3,9469.2170537
1,27,0.993790334674,0.473349305556,0.00407463605087,0.0102447487997,0.000178035012504,0.999675662805,8.56828499606e-06,3447936.2,1420.40788508
1,27,0.998650101968,0.883084915123,0.00183215102976,0.000284303555098,1.97095660842e-05,0.999930308527,5.00587524422e-06,3518364.9,626.781373367
1,28,0.5,2.66203703704e-06,1.21328589456e-06,0.942226260747,5.58149944523e-05,0.979738392801,0.000402059933481,104058.7,190.192560317
1,28,0.691462461274,2.2762345679e-06,5.30390705435e-07,0.928448739253,0.000119740832065,0.987042334713,0.000213983276216,162688.8,391.799132209
1,28,0.841344746069,4.39814814815e-06,1.18536199813e-06,0.8947449639,0.00036633916784,0.992700213556,0.000159903658332,292377.2,1304.13617387
1,28,0.894350226333,5.82561728395e-06,2.88424439685e-06,0.859855726411,0.000527996396302,0.994995993544,0.000114987702915,422430.0,1768.71360033
1,28,0.933192798731,6.8287037037e-06,3.44230077603e-06,0.799552989969,0.000448948692405,0.996680416657,6.9064747649e-05,644871.1,1629.49890764
1,28,0.959940843136,1.34259259259e-05,6.53545283267e-06,0.688574640377,0.00117924823291,0.997991026135,3.26229190635e-05,1051990.6,3840.86529834
1,28,0.977249868052,2.17206790123e-05,1.58217117512e-05,0.478692022156,0.0022814524903,0.998836179269,2.34866045891e-05,1821157.6,8255.44845784
1,28,0.987775527345,0.0569338348765,0.00351788945303,0.116590261243,0.0031583233292,0.999360144037,1.66255488192e-05,3152198.7,11389.090886
1,28,0.993790334674,0.457152584877,0.00249470816274,0.0108601590057,0.000266837178714,0.999682412046,7.54940381304e-06,3574127.9,1251.54252425
1,28,0.998650101968,0.877727353395,0.00129577352097,0.000310186563051,1.13786511155e-05,0.999930230243,2.59387483498e-06,3647704.2,885.177812646
1,29,0.5,2.50771604938e-06,1.16061797504e-06,0.944205401235,0.00010064332108,0.979465738977,0.000362778374687,104091.0,327.092953149
1,29,0.691462461274,4.08950617284e-06,2.11453543303e-06,0.930955445136,8.12999073719e-05,0.986859620773,0.00018367344322,162460.1,241.855514719
1,29,0.841344746069,3.58796296296e-06,1.6643252014e-06,0.898389357173,0.000244474389389,0.992781421671,8.21741745353e-05,292291.1,912.93673932
1,29,0.894350226333,6.28858024691e-06,2.46461053298e-06,0.86467270381,0.00031648753755,0.994914075925,0.000119933658099,422476.9,1181.23481578
1,29,0.933192798731,5.47839506173e-06,3.47992971722e-06,0.805612013091,0.000858514702193,0.996723077075,4.97877825225e-05,647841.9,3127.29856106
1,29,0.959940843136,1.28472222222e-05,7.23222719608e-06,0.69955602517,0.000860303444511,0.997970527658,2.7070975591e-05,1051212.5,3488.83150209
1,29,0.977249868052,2.00617283951e-05,1.45984310118e-05,0.498004295711,0.00245049160184,0.998812126399,1.53776438532e-05,1815820.9,9219.07297346
1,29,0.987775527345,0.0419075231481,0.00113594425383,0.131486802895,0.0017303756374,0.999356148991,1.32361197853e-05,3209476.3,6614.23153586
1,29,0.993790334674,0.43605775463,0.00355544703879,0.0116113000213,0.00037657551815,0.999676002279,4.04270061462e-06,3697866.5,1691.0877121
1,29,0.998650101968,0.873514390432,0.00133516280973,0.000305850893997,1.29777039731e-05,0.999929957722,2.60326143588e-06,3779156.7,649.364004238
1,30,0.5,2.00617283951e-06,1.54320987654e-07,0.946078351337,6.48934084045e-05,0.979510158619,0.000756715384219,104124.0,300.964449728
1,30,0.691462461274,2.62345679012e-06,1.14187103294e-06,0.933341547068,0.00010869315394,0.986897775347,0.000246193133493,162278.4,357.979105536
1,30,0.841344746069,3.24074074074e-06,1.40381214496e-06,0.901805606996,0.000359851073243,0.992729090543,0.000122419992863,292105.4,1353.88907965
1,30,0.894350226333,4.24382716049e-06,1.85024364325e-06,0.869015470679,0.000554574356074,0.994986034348,7.6627703379e-05,423043.0,2121.81987925
1,30,0.933192798731,7.90895061728e-06,5.57013796913e-06,0.812610576132,0.000823625655325,0.996724798347,6.86360830973e-05,645771.1,3279.0215751
1,30,0.959940843136,8.60339506173e-06,3.74069267428e-06,0.710079002058,0.00134277298204,0.99797495832,5.47320417739e-05,1049109.5,5202.44960091
1,30,0.977249868052,1.90586419753e-05,1.92315468653e-05,0.51482089892,0.00286557154689,0.998823962858,2.65149149665e-05,1815763.2,11235.2238411
1,30,0.987775527345,0.0290242669753,0.00165493798065,0.150866864712,0.00358555464665,0.99936132832,1.12081302328e-05,3246210.3,13393.8968194
1,30,0.993790334674,0.414653472222,0.00230098109683,0.0129250900206,0.000276468743299,0.999671345138,1.1419332402e-05,3820705.0,1340.70630639
1,30,0.998650101968,0.868212770062,0.00154867776729,0.000335702160494,2.37376586907e-05,0.999926892121,6.32678143209e-06,3909363.0,984.247936244
1,31,0.5,2.39197530864e-06,9.25925925926e-07,0.947762660544,8.04780739032e-05,0.979817155112,0.00046922730834,104241.5,351.80626771
1,31,0.691462461274,2.70061728395e-06,1.15740740741e-06,0.935445142622,0.000128296596608,0.986844583713,0.000233033470992,162359.1,417.896267033
1,31,0.841344746069,3.00925925926e-06,1.27723343806e-06,0.904923804012,0.000257401426306,0.992761235538,0.000170114299966,292388.5,974.430423376
1,31,0.894350226333,3.20216049383e-06,1.99015746551e-06,0.8735767386,0.000563779734813,0.994975132859,0.000107239502577,421675.9,2118.28073918
1,31,0.933192798731,5.32407407407e-06,2.34547594963e-06,0.818657719783,0.000500076034977,0.996759425332,5.24458041649e-05,646137.7,2090.66472922
1,31,0.959940843136,1.18441358025e-05,4.86799556593e-06,0.718633187724,0.000872332264061,0.99798248823,4.78716763923e-05,1052456.7,3830.5516326
1,31,0.977249868052,2.16435185185e-05,2.08721988297e-05,0.529125847521,0.00148599017196,0.998827138135,3.25107944796e-05,1821414.8,5962.53429005
1,31,0.987775527345,0.0192386574074,0.0013858061016,0.169550207836,0.00274917800675,0.999362479691,1.44148365732e-05,3280815.0,11349.4468235
1,31,0.993790334674,0.396408834877,0.00378951787074,0.0138403512047,0.00035774598778,0.999671196396,1.19461717479e-05,3943421.8,1908.79322086
1,31,0.998650101968,0.864434027778,0.00135815922235,0.00034102324771,1.51991669173e-05,0.999928728078,3.19581704505e-06,4039468.0,552.073183554
1,32,0.5,2.08333333333e-06,3.53593803623e-07,0.949412683256,7.75221178665e-05,0.979697023037,0.000403239288818,104135.2,311.29850626
1,32,0.691462461274,2.58487654321e-06,1.14512516047e-06,0.937428767602,9.59375012548e-05,0.986895813506,0.000258790678768,162525.3,487.818009098
