n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,6,0.959940843,0.000278819,7.21E-05,0.540269991,0.001213621,0.997983654,2.86E-05,1049132.7,4117.13364
1,6,0.977249868,0.021342785,0.0006055,0.330824074,0.002473461,0.998834633,3.18E-05,1779932.4,8530.808932
1,6,0.987775527,0.212803781,0.002522978,0.111592702,0.001643396,0.999367,1.58E-05,2634233.2,6500.886336
1,6,0.993790335,0.527239738,0.003287766,0.02512055,0.000512002,0.999679434,3.80E-06,3097043.5,3342.026967
1,6,0.998650102,0.887559606,0.001653372,0.001003311,5.95E-05,0.999927328,5.44E-06,3369937.2,860.8131969
1,7,0.5,9.26E-07,4.63E-07,0.836996296,5.52E-05,0.979580293,0.000405978,104080.7,269.5974963
1,7,0.691462461,1.20E-06,5.02E-07,0.824564032,0.00015249,0.986793066,0.00027468,162126.4,605.5888374
1,7,0.841344746,2.39E-06,1.13E-06,0.793631443,0.000260421,0.992603934,0.000152505,292430.6,1036.91178
1,7,0.894350226,3.24E-06,2.94E-06,0.761629349,0.000341113,0.995006316,9.71E-05,422707.9,1356.926634
1,7,0.933192799,1.93E-06,1.08E-06,0.706615349,0.001135065,0.996673934,0.000113797,644736.7,4462.757736
1,7,0.959940843,1.35E-05,1.55E-05,0.605101675,0.001472583,0.997960199,4.65E-05,1052578,5824.067153
1,7,0.977249868,0.004358873,0.000328264,0.417261502,0.002046859,0.998827729,3.07E-05,1807477.8,8513.263191
1,7,0.987775527,0.127613735,0.002037364,0.156028671,0.00161638,0.999365977,1.23E-05,2919490.9,7483.512884
1,7,0.993790335,0.45344402,0.002127916,0.033342752,0.000616264,0.999674177,8.76E-06,3583237.2,3293.114052
1,7,0.998650102,0.86957716,0.001865701,0.001228274,4.83E-05,0.99992844,3.48E-06,3930995.2,1318.416459
1,8,0.5,8.87E-07,5.74E-07,0.85735271,5.68E-05,0.979482937,0.00037962,104125.2,184.4140992
1,8,0.691462461,1.20E-06,7.21E-07,0.846378366,0.000165406,0.986950171,0.00033696,162526.3,801.4604232
1,8,0.841344746,3.05E-06,1.86E-06,0.819354027,0.000273599,0.992725288,0.000184254,292612.3,1201.419997
1,8,0.894350226,2.78E-06,1.65E-06,0.791604143,0.000335545,0.994926003,0.000103328,421968.3,1533.661244
