n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,6,0.959940843,0.352856867,0.003438133,0.058351762,0.000983865,0.997983946,4.76E-05,681784.9,888.1764971
1,6,0.977249868,0.594928935,0.002467968,0.016996508,0.000462319,0.998812737,2.00E-05,735893.5,407.483558
1,6,0.987775527,0.773514931,0.001884453,0.004596071,0.00010742,0.999367922,3.34E-05,761139.8,205.5868673
1,6,0.993790335,0.881901003,0.001735406,0.001113272,7.96E-05,0.999670047,2.69E-05,773442.3,285.5580677
1,6,0.998650102,0.973258372,0.000861294,5.19E-05,1.52E-05,0.999929163,9.32E-06,782058.9,434.8506525
1,7,0.5,3.55E-06,1.91E-06,0.769030208,0.000354258,0.979534457,0.000404777,103975.4,221.9117843
1,7,0.691462461,6.25E-06,4.38E-06,0.714561122,0.000651163,0.986824832,0.000262918,162038.6,561.1219475
1,7,0.841344746,4.22E-05,1.72E-05,0.579473765,0.001679149,0.992726944,7.20E-05,291831.6,1437.053458
1,7,0.894350226,0.002355787,0.000258942,0.442367052,0.002125584,0.99498503,7.00E-05,419841.5,1874.842887
1,7,0.933192799,0.05342037,0.001410514,0.238846026,0.002523366,0.996709943,7.16E-05,612371.4,2602.923672
1,7,0.959940843,0.262199498,0.002697642,0.081927629,0.001152806,0.997984871,5.03E-05,775245.1,1256.337968
1,7,0.977249868,0.530031559,0.003339066,0.022631752,0.000553568,0.998836687,3.58E-05,853439.1,686.6592241
1,7,0.987775527,0.734898264,0.002202658,0.005652987,0.000188723,0.999373047,2.38E-05,886831.4,679.9388502
1,7,0.993790335,0.862411188,0.001639837,0.001376813,7.42E-05,0.999669726,2.09E-05,901965.8,604.4696518
1,7,0.998650102,0.969488233,0.00103449,5.61E-05,1.29E-05,0.999924486,1.09E-05,912372.5,458.0638056
1,8,0.5,4.59E-06,2.57E-06,0.797762471,0.000237522,0.979722073,0.000423089,104069.1,288.3613878
1,8,0.691462461,5.90E-06,3.31E-06,0.750025743,0.000601047,0.986846327,0.00028124,162232.6,566.9771071
1,8,0.841344746,7.37E-06,5.90E-06,0.631974706,0.000748241,0.992620137,0.000181481,291922,800.0309994
1,8,0.894350226,0.000302276,4.97E-05,0.510442728,0.001267469,0.994952993,9.23E-05,421501.3,1473.791983
1,8,0.933192799,0.01897091,0.000972375,0.30954497,0.002753959,0.996719077,7.08E-05,634905.9,2909.89833
1,8,0.959940843,0.183881867,0.001569622,0.109790683,0.000998565,0.997979693,4.76E-05,859168.3,1167.561309
1,8,0.977249868,0.465507793,0.003449295,0.028360904,0.000617223,0.998814119,2.35E-05,969407.4,876.3142359
1,8,0.987775527,0.697404398,0.002318861,0.006990027,0.000268555,0.999372727,1.80E-05,1012315.1,416.7129588
1,8,0.993790335,0.842269907,0.001725703,0.001652739,7.59E-05,0.999674707,2.28E-05,1030473.9,541.3221684
1,8,0.998650102,0.965623958,0.000873617,7.58E-05,1.46E-05,0.999928847,4.97E-06,1042826,390.6812
1,9,0.5,3.36E-06,1.43E-06,0.820061013,0.000210912,0.979691253,0.000454887,104238.8,283.7438281
1,9,0.691462461,6.06E-06,4.86E-06,0.777184156,0.000419112,0.986933241,0.000303488,162809,499.9229941
1,9,0.841344746,9.72E-06,7.94E-06,0.672381752,0.00101061,0.992689854,0.000136593,292696.2,1281.29074
1,9,0.894350226,2.62E-05,1.36E-05,0.564596391,0.001343313,0.994975472,0.000108438,421759,1544.90032
1,9,0.933192799,0.00508804,0.000430365,0.378697089,0.00200454,0.996676763,4.81E-05,642330,2254.921063
1,9,0.959940843,0.116473688,0.001144499,0.146338717,0.001257898,0.997995558,4.64E-05,926563.1,1492.225013
1,9,0.977249868,0.404325733,0.003911375,0.035778296,0.000671714,0.99883423,2.85E-05,1082724.3,1265.404761
1,9,0.987775527,0.660281366,0.002070342,0.008379029,0.000143909,0.999371108,2.40E-05,1137080.5,682.7190125
1,9,0.993790335,0.822726003,0.002689589,0.001901286,7.17E-05,0.999674956,1.45E-05,1158930.3,647.6094579
1,9,0.998650102,0.960778318,0.000893373,8.01E-05,1.31E-05,0.999930863,8.79E-06,1173061,359.3357761
1,10,0.5,5.09E-06,1.59E-06,0.838265046,0.000295016,0.979492839,0.0004803,104138.9,361.520525
1,10,0.691462461,5.02E-06,2.71E-06,0.799898538,0.000406635,0.987050097,0.000231035,162141.5,539.6990365
1,10,0.841344746,6.94E-06,4.00E-06,0.705390309,0.000841988,0.992679529,0.0001558,292263.4,1290.216896
1,10,0.894350226,1.35E-05,9.21E-06,0.60792473,0.001000522,0.994972544,9.08E-05,421966.6,1194.363529
