n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate
1,4,0.95,0.466736111,0.002652858,0.042478569,0.000620739,0.997517023,5.12E-05
1,4,0.99,0.873827276,0.001066459,0.001751997,6.77E-05,0.999454587,2.80E-05
1,4,0.997,0.961197222,0.000465449,0.000158314,2.33E-05,0.999839632,2.08E-05
1,4,0.99994,0.999157485,0.000127083,0,0,0.999994454,3.77E-06
2,4,0.5,0.025526755,0.000332278,0.211770872,0.000602296,0.979551001,0.000164873
2,4,0.68,0.107563368,0.000931577,0.124490345,0.000600668,0.986499292,0.000216176
2,4,0.8,0.258024479,0.001706725,0.058808546,0.000443946,0.990965089,0.000187649
2,4,0.9,0.516190162,0.001141552,0.014426939,0.000207818,0.99520125,7.97E-05
2,4,0.95,0.720911921,0.001783518,0.002687076,0.000130488,0.997479295,7.03E-05
2,4,0.99,0.937369348,0.000439556,2.85E-05,7.18E-06,0.999473984,2.55E-05
2,4,0.997,0.980583353,0.000483841,8.58E-07,1.42E-06,0.999843144,1.51E-05
2,4,0.99994,0.99962934,7.83E-05,0,0,0.999997705,2.06E-06
3,4,0.5,0.200817348,0.000525053,0.037836757,0.000127292,0.979534983,0.000178997
3,4,0.68,0.328849563,0.000944085,0.018171345,0.000189445,0.986412019,0.000208053
3,4,0.8,0.475750797,0.001295266,0.006672348,9.86E-05,0.991028973,0.000177689
3,4,0.9,0.672896515,0.001133544,0.001000627,5.17E-05,0.995179937,9.11E-05
3,4,0.95,0.813701337,0.001237727,0.000105064,1.35E-05,0.997513748,0.000110437
3,4,0.99,0.957984632,0.000638312,5.98E-07,1.22E-06,0.999467454,2.81E-05
3,4,0.997,0.9872799,0.000344419,0,0,0.999843189,1.41E-05
3,4,0.99994,0.999746618,5.32E-05,0,0,0.99999694,3.22E-06
1,5,0.5,5.63E-06,2.65E-06,0.676589491,0.000364225,0.97952387,0.00052021
1,5,0.68,1.05E-05,4.98E-06,0.607123079,0.00088694,0.986452813,0.000141453
1,5,0.8,0.001085532,0.000114458,0.492059722,0.001438397,0.991130619,0.000226266
1,5,0.9,0.068852855,0.001317224,0.238725154,0.001365133,0.995260793,9.46E-05
1,5,0.95,0.349703395,0.001262786,0.066029236,0.001246592,0.997476977,7.24E-05
1,5,0.99,0.843324769,0.001542005,0.002345602,9.47E-05,0.999462824,2.42E-05
1,5,0.997,0.95155027,0.000959698,0.000192199,2.47E-05,0.999843097,1.79E-05
1,5,0.99994,0.999120679,0.000123369,0,0,0.999996939,2.65E-06
2,5,0.5,0.001614853,9.31E-05,0.353625,0.000174015,0.97967206,0.000157444
2,5,0.68,0.026686671,0.000584969,0.234652593,0.000871158,0.986596711,0.000188186
2,5,0.8,0.131587095,0.000998344,0.117334684,0.000599166,0.991137546,0.000117805
2,5,0.9,0.405541512,0.002162711,0.02806267,0.000338142,0.995248833,8.66E-05
2,5,0.95,0.652759105,0.001289683,0.005188827,9.97E-05,0.997517439,8.52E-05
2,5,0.99,0.921789796,0.000989888,6.49E-05,1.74E-05,0.999470494,2.53E-05
2,5,0.997,0.975649421,0.000340763,1.42E-06,1.58E-06,0.999842762,1.70E-05
2,5,0.99994,0.999509317,7.41E-05,0,0,0.999996941,2.16E-06
3,5,0.5,0.074434388,0.000406609,0.103629653,0.000445034,0.979592772,0.000278213
3,5,0.68,0.192496052,0.000513127,0.051839159,0.000375213,0.986402017,0.000204664
3,5,0.8,0.355120705,0.001400295,0.020031219,0.000151463,0.991096092,0.00014307
3,5,0.9,0.592207266,0.00122706,0.003246211,6.10E-05,0.995168437,6.81E-05
3,5,0.95,0.767642785,0.001175517,0.000359969,3.13E-05,0.997520384,4.02E-05
3,5,0.99,0.947543621,0.000413971,8.26E-07,1.09E-06,0.999476283,2.31E-05
3,5,0.997,0.983847081,0.000350375,0,0,0.999843121,1.31E-05
3,5,0.99994,0.999668956,3.92E-05,0,0,0.999997398,9.79E-07
1,6,0.5,4.17E-06,2.00E-06,0.730275096,0.000516626,0.979405536,0.000500056
1,6,0.68,4.86E-06,2.40E-06,0.672270248,0.00053964,0.986509915,0.000319915
1,6,0.8,4.94E-05,2.15E-05,0.576191178,0.000943485,0.991049521,0.000221103
1,6,0.9,0.019835725,0.001061344,0.332248315,0.002023292,0.995244095,7.93E-05
1,6,0.95,0.244653897,0.002299609,0.095857356,0.001056845,0.997543207,5.36E-05
1,6,0.99,0.811636613,0.003267777,0.003039751,0.000115979,0.999489176,1.64E-05
1,6,0.997,0.941671103,0.001410359,0.000249769,2.35E-05,0.999844987,2.02E-05
1,6,0.99994,0.998910378,0.000196632,0,0,0.999996812,2.69E-06
2,6,0.5,4.23E-05,8.83E-06,0.460931906,0.000387481,0.979632373,0.000294698
2,6,0.68,0.003467342,0.000167744,0.34742183,0.000633538,0.986450737,0.00014272
2,6,0.8,0.051162654,0.000712023,0.195140754,0.00072476,0.991179374,9.47E-05
2,6,0.9,0.301127257,0.001315463,0.048105536,0.000654937,0.9952331,7.52E-05
2,6,0.95,0.585072145,0.002447795,0.008688182,0.000198502,0.997517414,5.97E-05
2,6,0.99,0.905708275,0.000907577,9.62E-05,1.34E-05,0.999481812,3.35E-05
2,6,0.997,0.970953434,0.000276628,1.91E-06,1.82E-06,0.999842732,1.32E-05
2,6,0.99994,0.999475193,5.40E-05,0,0,0.999996812,2.00E-06
3,6,0.5,0.015070152,0.000251758,0.203609279,0.000569549,0.979598091,0.00029972
3,6,0.68,0.089547994,0.000511636,0.106814191,0.000407856,0.986503359,0.000158072
3,6,0.8,0.244014712,0.000920999,0.042106424,0.00034455,0.990991659,0.000135863
3,6,0.9,0.512620152,0.001563957,0.007134677,0.000107448,0.995183072,8.46E-05
3,6,0.95,0.721182858,0.001240336,0.000834922,3.89E-05,0.997517553,3.81E-05
3,6,0.99,0.936880247,0.000708445,2.40E-06,1.51E-06,0.999472607,3.04E-05
3,6,0.997,0.980821001,0.000308514,0,0,0.999842674,1.49E-05
3,6,0.99994,0.999592078,5.31E-05,0,0,0.999997194,1.59E-06
1,7,0.5,6.25E-06,2.03E-06,0.768874708,0.000372853,0.979768829,0.000385456
1,7,0.68,5.86E-06,3.46E-06,0.719722112,0.000600532,0.986532979,0.000270173
1,7,0.8,8.14E-06,5.26E-06,0.636597806,0.00093159,0.991012473,0.000192827
1,7,0.9,0.003920602,0.000237678,0.418493452,0.002029561,0.995189704,0.00012392
1,7,0.95,0.155016358,0.001718973,0.134996351,0.000911364,0.997493075,4.88E-05
1,7,0.99,0.781795216,0.002133646,0.003758388,0.000149364,0.99949544,1.69E-05
