n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,11,0.5,3.24074074074e-06,1.60189347932e-06,0.852997236251,0.000213202039237,0.979574695299,0.000400462661726,103986.1,342.079362137
1,11,0.68,4.43672839506e-06,2.23132619459e-06,0.821323344557,0.000356108096065,0.986442167996,0.000302899561738,157286.6,472.475650166
1,11,0.8,5.16975308642e-06,2.35434356518e-06,0.768807614338,0.000613764606674,0.990935341964,0.000128882242636,237922.0,877.092583482
1,11,0.9,1.2962962963e-05,7.66223518076e-06,0.62813137977,0.00182156252035,0.995161542849,6.32224823731e-05,444376.0,2609.8059698
1,11,0.95,0.00583398919753,0.000448953115007,0.351108764731,0.0032667933989,0.997511924454,7.05556040869e-05,845412.3,4672.31214818
1,11,0.99,0.657113271605,0.00260652284356,0.00726231060606,0.000211410939864,0.999481833095,1.79780486285e-05,1398003.2,556.4215668
1,11,0.997,0.894219598765,0.00154307360317,0.000552434062851,2.53855446782e-05,0.999836208857,1.04157541069e-05,1428068.3,858.520477333
1,11,0.99994,0.997820756173,0.000306700743215,3.15656565657e-07,5.2492387581e-07,0.999996522704,1.91774819349e-06,1437970.6,566.548179769
1,12,0.5,3.31790123457e-06,1.48621607132e-06,0.865170846193,0.000153925268528,0.979809139583,0.000377371113677,104165.0,288.760454356
1,12,0.68,3.81944444444e-06,1.72060980872e-06,0.836232253086,0.000316408934563,0.986477181028,0.000323877224081,157164.3,525.924148523
1,12,0.8,6.01851851852e-06,2.7938066343e-06,0.787656552212,0.000502227190701,0.991076360676,0.000182473788722,238494.7,738.586088415
1,12,0.9,7.87037037037e-06,6.22852965142e-06,0.659362172068,0.000891800038963,0.995214757707,0.000102282403411,444008.9,1395.00519354
1,12,0.95,0.00158325617284,0.000180421860125,0.40253199267,0.0011927764288,0.997460111577,5.99136210861e-05,849287.1,1730.14273689
1,12,0.99,0.626125192901,0.00236378717878,0.00828247492284,0.000193363493335,0.999464892402,1.60775448093e-05,1523249.0,495.873169268
1,12,0.997,0.884966705247,0.00180112666798,0.000603105709877,3.43819206785e-05,0.999844857303,7.4138189728e-06,1557928.4,494.738961474
1,12,0.99994,0.997797222222,0.000199747655187,1.80041152263e-07,4.27295466199e-07,0.999997449551,1.36764035182e-06,1568450.7,672.151627239
1,13,0.5,3.08641975309e-06,1.44354065848e-06,0.875517485755,0.000152764752152,0.979779488015,0.000367893471518,104183.3,321.319482758
1,13,0.68,5.43981481481e-06,1.28478594177e-06,0.849022949311,0.000337872974461,0.986328100136,0.000225387740547,156868.7,518.30378158
1,13,0.8,7.71604938272e-06,5.66223450894e-06,0.80410178953,0.000689335912395,0.991236643203,0.000158751637055,238308.6,1038.89520164
1,13,0.9,8.56481481481e-06,6.37403593459e-06,0.685921168685,0.00099153198488,0.995218882751,9.35133708557e-05,443491.8,1615.19143138
1,13,0.95,0.000330208333333,8.23990352853e-05,0.448548801045,0.00218894963896,0.997509757328,4.45895394078e-05,849006.9,3769.54146946
1,13,0.99,0.597791512346,0.00259177080758,0.00931482075024,0.000302727796933,0.999490512001,2.05760931151e-05,1649112.9,696.836917794
1,13,0.997,0.874502854938,0.00154656557606,0.000660473053181,4.50500687886e-05,0.999838100427,4.54909708521e-06,1687470.2,401.591284766
1,13,0.99994,0.997521875,0.000296200737006,6.23219373219e-08,1.86965811966e-07,0.999996585989,1.53115967933e-06,1699028.0,589.496564875
1,14,0.5,2.66203703704e-06,1.37434514896e-06,0.884451347553,0.000197798682279,0.9794301709,0.000387978665123,104148.3,397.327081886
1,14,0.68,3.31790123457e-06,1.96872697873e-06,0.859543105159,0.000407869126186,0.986518880033,0.000296301933343,157361.2,678.384522229
1,14,0.8,4.62962962963e-06,1.80132986573e-06,0.818243579145,0.000620745742296,0.991091831237,0.000326256581735,238019.9,1117.10495926
1,14,0.9,9.68364197531e-06,5.83174601991e-06,0.708353703704,0.00094920163715,0.995188073365,0.000123539888789,443540.3,1569.21432889
1,14,0.95,8.24845679012e-05,4.71689236657e-05,0.487335805225,0.00235800638829,0.99750127826,3.08667719699e-05,850058.6,4089.21677586
1,14,0.99,0.566602430556,0.00325609946422,0.0105724233907,0.000299695258587,0.999484306407,1.61882311054e-05,1773339.7,1189.00446172
1,14,0.997,0.864817746914,0.00184408246895,0.000724495701058,2.68116097593e-05,0.999841527176,1.07573044188e-05,1817335.7,401.205196876
1,14,0.99994,0.997352430556,0.000230644722855,2.12191358025e-07,6.36574074074e-07,0.999997212591,1.04993168279e-06,1829689.4,579.447012245
1,15,0.5,2.97067901235e-06,1.13205252709e-06,0.892213032407,0.000161989469,0.979347958711,0.000433568669473,103991.8,261.169217175
1,15,0.68,3.3950617284e-06,1.35635770303e-06,0.868903631687,0.000371279075502,0.986599316107,0.000294617092635,157336.7,705.087803043
1,15,0.8,5.20833333333e-06,2.12191358025e-06,0.830085882202,0.000456220703453,0.991105492482,0.000161273076648,238623.7,908.542574677
1,15,0.9,9.72222222222e-06,7.49649044036e-06,0.727707986111,0.000534909642396,0.995213269969,0.000110456417078,443591.1,1006.45709794
1,15,0.95,1.63966049383e-05,1.44871267302e-05,0.521060061728,0.00178560193527,0.997500156879,4.5063759501e-05,851020.5,3400.74601374
1,15,0.99,0.53501554784,0.00178874028661,0.0121110673868,0.000303645310626,0.999480691822,8.10907178793e-06,1896757.0,1085.37873574
1,15,0.997,0.856365084877,0.00269531069828,0.000782435699588,3.29720381262e-05,0.999844277461,1.52091618023e-05,1947133.4,1015.4491814
1,15,0.99994,0.997222993827,0.000254558596995,6.17283950617e-08,1.53977670238e-07,0.999996684505,2.11925781847e-06,1960684.0,896.422445056
1,16,0.5,2.93209876543e-06,1.45586128581e-06,0.898878759163,0.00017225499375,0.979391873994,0.000296004928444,104093.9,438.036402597
1,16,0.68,3.78086419753e-06,1.28883434325e-06,0.877177500482,0.000271539977908,0.986464899045,0.000277204937738,157201.3,551.914495189
1,16,0.8,4.74537037037e-06,2.53604605394e-06,0.841173963156,0.000590241887069,0.991050602669,0.000229319076128,237583.1,1209.97334268
1,16,0.9,6.63580246914e-06,3.18981892108e-06,0.744419649402,0.00106520299018,0.995234471649,0.0001028071175,444282.0,2258.90699233
1,16,0.95,1.30015432099e-05,9.38547273608e-06,0.551391760706,0.00163908209446,0.997495109025,6.42319240743e-05,849940.1,3428.21123766
1,16,0.99,0.504687731481,0.00400076420586,0.0134671296296,0.000381256582091,0.999474217549,9.69494126443e-06,2020415.8,1418.93705287
1,16,0.997,0.846651658951,0.00119155343923,0.000844926697531,4.15524225851e-05,0.999840609104,9.81096338664e-06,2076688.0,908.291693235
1,16,0.99994,0.996813503086,0.000270015549403,3.23109567901e-07,6.55952841005e-07,0.999996939769,1.15522004518e-06,2091271.5,675.112027741
1,17,0.5,3.7037037037e-06,1.718445791e-06,0.904853168119,0.000132394154888,0.979597133606,0.000559378974095,104131.3,308.722545338
1,17,0.68,3.74228395062e-06,1.52428597725e-06,0.884426005356,0.00030717981784,0.98644145379,0.000336068935429,157106.5,719.904889551
1,17,0.8,3.7037037037e-06,2.86742348396e-06,0.850313911583,0.000321671267631,0.991068101998,0.000209917515778,238171.0,852.314730601
1,17,0.9,7.83179012346e-06,4.09405320239e-06,0.759477732389,0.000451357835337,0.995218571995,4.9409743075e-05,444217.5,910.213518906
1,17,0.95,1.72453703704e-05,1.41501175058e-05,0.577284422658,0.00130773016669,0.997506149877,4.79739608929e-05,851003.6,2848.74874989
1,17,0.99,0.476693287037,0.00473106685778,0.0151599582426,0.000543204854049,0.999488171169,9.57258848215e-06,2143489.7,1664.71168975
1,17,0.997,0.83684382716,0.00222884777124,0.000899466684822,5.34268840649e-05,0.999841231415,9.47708146684e-06,2206374.2,734.602722565
1,17,0.99994,0.996742901235,0.00022031599199,0.0,0.0,0.999996939928,8.94868652465e-07,2222077.9,1011.51751839
1,18,0.5,3.3950617284e-06,1.33422966557e-06,0.910145068158,0.000126702329971,0.979559520116,0.00049717859323,104086.4,237.811774309
1,18,0.68,3.125e-06,1.78013456714e-06,0.890826208848,0.000225690280084,0.986478187564,0.000247358188404,157149.1,558.683174975
1,18,0.8,4.89969135802e-06,2.59407337562e-06,0.858608209019,0.000453050240202,0.991139887618,0.000121097016589,238133.2,1109.50428571
1,18,0.9,7.71604938272e-06,5.1153392111e-06,0.772987279235,0.000595227458897,0.995179287507,8.27420244413e-05,443698.1,1447.84235675
1,18,0.95,9.79938271605e-06,9.06791751757e-06,0.60123744213,0.00130130227148,0.997514590704,4.74605385336e-05,849924.6,3024.8835085
1,18,0.99,0.446858989198,0.0040342934461,0.0166553969479,0.000441696903234,0.999479910524,1.97819276982e-05,2265788.6,1523.54508959
1,18,0.997,0.82615470679,0.00158070382942,0.00102343535665,1.98276613848e-05,0.999843686654,8.06357778428e-06,2335718.1,604.763829937
1,18,0.99994,0.996634645062,0.000389271747166,1.43604252401e-07,2.48304697579e-07,0.999997110073,1.00192957533e-06,2352989.9,357.471803084
1,19,0.5,2.77777777778e-06,1.53159207109e-06,0.914877519899,0.000126216269331,0.979714544379,0.000544315187791,104055.9,267.821750424
1,19,0.68,3.08641975309e-06,1.34755009233e-06,0.896569487086,0.000223049113111,0.986515224812,0.00024777828024,157056.4,555.394130325
1,19,0.8,4.08950617284e-06,2.51334837576e-06,0.866191295078,0.000266310654848,0.991047967202,0.000198794888398,237759.0,664.213519886
1,19,0.9,6.25e-06,3.30441560268e-06,0.784456714994,0.000583960454303,0.995306604394,8.43961764201e-05,444885.6,1301.86682883
1,19,0.95,1.18827160494e-05,7.53412067823e-06,0.622997431368,0.00120335714839,0.997495703356,4.14065146705e-05,848089.2,2830.80715698
1,19,0.99,0.41487191358,0.00332611901757,0.0191948546134,0.000432170710076,0.999474037686,1.76328608407e-05,2384969.6,1417.39120923
1,19,0.997,0.817882523148,0.00272140910656,0.00104737045159,3.19637724111e-05,0.999845324006,6.33608897586e-06,2465143.1,838.745783894
1,19,0.99994,0.996406365741,0.000196349886559,1.29954515919e-07,2.2376506358e-07,0.999997221741,1.18713486916e-06,2483679.3,477.267859802
1,20,0.5,2.43055555556e-06,1.09189596436e-06,0.919106666667,0.000111656761578,0.979798250277,0.000367782168342,104086.0,294.86641043
