n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total
1,1,0.5,0.381557330247,0.000928140840426,0.0,0.0,0.979248068451,0.000543595590815,64372.2,117.41022102
1,1,0.68,0.491808680556,0.00166912909345,0.0,0.0,0.986422540869,0.00029393985724,80068.0,152.543764212
1,1,0.8,0.606461689815,0.00140870415595,0.0,0.0,0.991026434882,0.000330067669443,93597.8,134.274197074
1,1,0.9,0.755119328704,0.00137409938075,0.0,0.0,0.995188288035,0.00018950756412,108653.1,195.212935022
1,1,0.95,0.861370910494,0.00213034125478,0.0,0.0,0.997545966093,0.000223638883234,118468.3,254.197974028
1,1,0.99,0.968229166667,0.000751835139102,0.0,0.0,0.999481865953,5.63686831492e-05,127962.8,120.25622645
1,1,0.997,0.990233410494,0.00020890938307,0.0,0.0,0.999816694906,4.05690943451e-05,129837.7,146.195109357
1,1,0.99994,0.999821141975,6.24426272258e-05,0.0,0.0,0.999999234854,2.29543819915e-06,130717.4,111.198201424
1,2,0.5,0.0485743441358,0.000429515919606,0.230164467593,0.000673084841991,0.979701661295,0.000389494806694,99176.3,134.47531372
1,2,0.68,0.141406712963,0.0012882379785,0.15639369213,0.000547303103456,0.986332376492,0.00025859478566,135012.4,224.903179168
1,2,0.8,0.285347569444,0.00227487409287,0.0931801118827,0.000967393340982,0.99092147141,0.00027606703359,169428.0,369.100257383
1,2,0.9,0.529073649691,0.00301248077331,0.0346565393519,0.00045808242201,0.99531735769,0.000165367050555,209759.6,348.779643901
1,2,0.95,0.723957561728,0.00139008322705,0.0109667052469,0.000170599395855,0.997483666486,9.52241163352e-05,234190.5,164.543155433
1,2,0.99,0.937765509259,0.00145051426077,0.000515489969136,4.60767565029e-05,0.99949312295,5.95930682712e-05,256091.6,259.21504586
1,2,0.997,0.980885725309,0.000516654641889,5.11574074074e-05,2.10511377047e-05,0.999853650187,2.63382691335e-05,259661.8,266.913768847
1,2,0.99994,0.99963287037,0.0001228282854,0.0,0.0,0.999996173339,2.96314974138e-06,261281.9,259.879375865
1,3,0.5,0.000958757716049,8.50995684465e-05,0.461697325103,0.00059071856049,0.97942241661,0.000422161409695,103865.9,194.859154263
1,3,0.68,0.0158881558642,0.000274325276353,0.355125167181,0.000665677810732,0.986513000269,0.000306802886398,154861.6,330.144574391
1,3,0.8,0.0873523148148,0.00119258241581,0.226289210391,0.00116671411341,0.991073936962,0.000214731640404,217089.4,517.434285683
1,3,0.9,0.328653549383,0.00184402402936,0.0840296039095,0.000982365387345,0.995264949958,0.000100984939382,298581.9,585.167061616
1,3,0.95,0.590486188272,0.00222183941962,0.0249467078189,0.000341783644929,0.997459703915,4.07234299191e-05,346376.8,345.190324314
1,3,0.99,0.905981635802,0.00154246231122,0.00109957561728,8.82531719152e-05,0.999485644766,5.22569967784e-05,383574.4,290.424930059
1,3,0.997,0.970723765432,0.00114119036096,9.375e-05,2.39166415738e-05,0.999843468817,1.38489645286e-05,389717.4,343.589056869
1,3,0.99994,0.999376350309,0.000131137119546,0.0,0.0,0.999996174513,2.61292745142e-06,392092.7,239.424748094
1,4,0.5,5.78703703704e-06,2.55912406663e-06,0.595773736497,0.000485424386507,0.979630566669,0.000496304372193,104065.4,203.385446874
1,4,0.68,0.000558410493827,5.7863991418e-05,0.509043055556,0.00124153680292,0.986412301049,0.000227012527979,157054.4,590.962976844
1,4,0.8,0.0138999228395,0.000374231226921,0.373085165895,0.00111699295975,0.991101200587,0.000231977207337,234459.6,697.493254448
1,4,0.9,0.171322878086,0.00102819938687,0.151853462577,0.00104081390764,0.995237938131,7.44423855462e-05,368499.0,534.544104822
1,4,0.95,0.465290393519,0.00252569401572,0.0426981963735,0.00052127475516,0.997491097549,6.71910661592e-05,453309.3,366.233818755
1,4,0.99,0.873749421296,0.00116981893629,0.00172272376543,0.000104942950419,0.99946330717,3.66587709887e-05,511098.6,397.008614516
1,4,0.997,0.961190162037,0.00106072347954,0.000154475308642,2.20111297483e-05,0.999837687554,1.76975692197e-05,519379.4,209.402578781
1,4,0.99994,0.999166898148,0.000156885159269,4.8225308642e-08,1.44675925926e-07,0.999994835837,3.83150332791e-06,522915.0,176.233935438
1,5,0.5,5.86419753086e-06,1.92746851802e-06,0.676490362654,0.000408420198834,0.979583909063,0.000411229056456,104049.5,248.716404767
1,5,0.68,1.28086419753e-05,5.8910407397e-06,0.60671933642,0.0013184479854,0.986453594248,0.000319811107433,157150.3,679.458173841
1,5,0.8,0.00108452932099,9.24662283952e-05,0.492350216049,0.00135254777656,0.990998835772,0.000156136676431,237415.0,870.628853186
1,5,0.9,0.0683438271605,0.00121187867035,0.239289436728,0.00198332074021,0.995165447718,9.10952033907e-05,413005.7,1561.68210914
1,5,0.95,0.349353896605,0.00340751346234,0.0655944907407,0.00108106817889,0.997527609313,6.40376848454e-05,553368.8,1028.61895763
1,5,0.99,0.844291087963,0.00271073258437,0.00228773919753,0.00012123353783,0.999472798029,4.42962481879e-05,638642.9,363.416689215
1,5,0.997,0.95163275463,0.000871607401618,0.000201033950617,2.42194536068e-05,0.999835670047,2.1488486371e-05,649293.3,354.699323371
1,5,0.99994,0.999084529321,0.000139804344314,0.0,0.0,0.999997398975,1.68333756721e-06,653661.8,301.91879703
1,6,0.5,3.31790123457e-06,2.05745241142e-06,0.730389634774,0.000554015778755,0.979277389855,0.000589980416031,104018.7,380.618719981
1,6,0.68,6.44290123457e-06,3.28295006165e-06,0.672433789866,0.000891321547085,0.986522064776,0.000290197465076,157195.7,680.939799101
1,6,0.8,5.02314814815e-05,1.95124533275e-05,0.575400379372,0.000884782442622,0.991089257326,0.000309943848892,238379.9,620.114255601
1,6,0.9,0.0195945216049,0.000761281323898,0.33202500643,0.00324913236656,0.995250924445,0.000134599018521,435216.8,2538.67307072
1,6,0.95,0.244561612654,0.00280696164234,0.0951665059156,0.0017731693668,0.997515424632,7.07029202096e-05,642913.1,1595.27994095
1,6,0.99,0.812112808642,0.00191612667837,0.00299701646091,0.000121893041047,0.999469710021,3.09074457583e-05,765636.5,492.461216747
1,6,0.997,0.941969984568,0.00118171369099,0.000251948302469,3.33649878683e-05,0.999837035145,1.59849233351e-05,779321.9,440.889884211
1,6,0.99994,0.998813888889,0.000108460622829,0.0,0.0,0.99999719444,2.47373652189e-06,784324.3,314.050330361
1,7,0.5,4.35956790123e-06,2.12751785169e-06,0.768934182099,0.000332057916292,0.979582274442,0.000449669232823,104134.2,273.989342858
1,7,0.68,6.21141975309e-06,2.94046281054e-06,0.719310681217,0.000603686018316,0.986465842828,0.000199646038178,157098.2,582.045496503
1,7,0.8,1.13811728395e-05,9.9358181016e-06,0.63692097112,0.000853609156329,0.991046630708,0.000154937787843,237671.1,796.232434657
1,7,0.9,0.00389232253086,0.000219563534069,0.416605731922,0.00183854165542,0.995229990632,0.000154219210441,443782.7,1772.34156133
1,7,0.95,0.155284259259,0.00195721015428,0.134602695106,0.00119403014332,0.997486605401,4.23195928484e-05,717408.3,1251.88506262
1,7,0.99,0.781534182099,0.00263558554345,0.00372490079365,0.000163025556981,0.999475997668,2.17517311258e-05,892757.5,568.317033002
1,7,0.997,0.933029436728,0.00107310944029,0.000330109126984,2.64361688053e-05,0.999849483136,1.54239417373e-05,908858.1,301.430738313
1,7,0.99994,0.998613850309,0.000173721368452,0.0,0.0,0.999996393612,1.83171808684e-06,914984.0,498.204777175
1,8,0.5,5.13117283951e-06,2.13450249902e-06,0.797866681134,0.000270445827537,0.979445642262,0.000434629440946,104057.9,289.169656084
1,8,0.68,3.81944444444e-06,1.6678986359e-06,0.7545894049,0.000526579021485,0.986455932164,0.000363319244892,156841.4,709.981999772
1,8,0.8,5.13117283951e-06,4.35820201481e-06,0.682138614005,0.000492237185271,0.991123858902,0.000170160958258,237742.9,652.343230209
1,8,0.9,0.000575192901235,7.1654736452e-05,0.489089829282,0.00245722071547,0.995170936212,9.35086686824e-05,443988.6,2619.03811351
1,8,0.95,0.0871070987654,0.00140274436663,0.182040678048,0.0015742157315,0.997480625775,5.36976435502e-05,775137.7,1667.60865013
1,8,0.99,0.750859953704,0.00203088150873,0.00447837094907,0.000153681836513,0.99947902929,2.26910060812e-05,1019632.1,406.255695345
1,8,0.997,0.922966319444,0.00154749102394,0.000359143518519,2.47132832704e-05,0.999839714587,9.1696219314e-06,1038776.7,525.574742544
1,8,0.99994,0.998444405864,0.000231172404898,5.83526234568e-07,1.7505787037e-06,0.999997800482,1.21376946851e-06,1045752.4,427.627688533
1,9,0.5,3.58796296296e-06,2.02720750855e-06,0.820308281893,0.000374430692085,0.979388408715,0.0003230826348,104053.4,369.827040655
1,9,0.68,4.43672839506e-06,1.79512193274e-06,0.781654843964,0.000387777968733,0.986427348249,0.000336365878394,157315.2,420.314120629
1,9,0.8,6.17283950617e-06,6.00415744675e-06,0.717128527949,0.000448933486085,0.990996259248,0.000154680549224,238162.8,465.827822269
1,9,0.9,5.11188271605e-05,2.35296811043e-05,0.545165187757,0.00151779515734,0.995255104413,6.62160806318e-05,444685.1,1777.72846352
1,9,0.95,0.0427498070988,0.000748891949234,0.236440290638,0.00105353693364,0.997484233152,4.63837827632e-05,813714.9,1249.54955484
1,9,0.99,0.720411651235,0.00285803260738,0.00525881344307,0.000152656981163,0.999485224163,1.32600057933e-05,1146135.4,793.268958172
1,9,0.997,0.912949807099,0.00181075809547,0.000416735253772,3.79156976168e-05,0.999837248843,1.27480076193e-05,1168642.5,483.915746799
1,9,0.99994,0.998164351852,0.000164737654321,2.44341563786e-07,7.33024691358e-07,0.999995495266,1.3721004635e-06,1176462.1,590.031939813
1,10,0.5,4.39814814815e-06,2.02095692187e-06,0.838337175926,0.000166869252556,0.979365410949,0.000410700965911,104092.1,155.149895263
1,10,0.68,5.09259259259e-06,3.47564988567e-06,0.803417804784,0.000436102463661,0.986481959937,0.000246613639702,157339.9,493.03477565
1,10,0.8,6.28858024691e-06,4.36161592886e-06,0.74602875,0.000868040884101,0.991163185166,0.000174583755485,237349.5,1089.78413
1,10,0.9,1.49691358025e-05,9.46718697251e-06,0.591520821759,0.00116218676487,0.995222572711,9.16532136712e-05,443644.0,1427.12529233
1,10,0.95,0.0169570216049,0.00068768965356,0.293760300926,0.00160828686146,0.997496682951,3.88163523399e-05,836289.0,2151.19399404
1,10,0.99,0.688592978395,0.00197138996005,0.00622476080247,0.000259810027759,0.999475913496,1.63692291561e-05,1272306.9,488.445585506
1,10,0.997,0.904164776235,0.00158088994495,0.000483757716049,4.45438716063e-05,0.999841169753,1.02962645183e-05,1298241.2,576.096311392
1,10,0.99994,0.998169058642,0.000240415172882,5.86419753086e-07,8.98812119344e-07,0.999997858244,1.17516481459e-06,1307420.0,349.005730612
